,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hofn,64.2539,-15.2082,46.42,53,20,19.57,IS,1665073767
1,Abu Samrah,35.3029,37.1841,79.47,26,0,5.3,SY,1665073769
2,Punta Arenas,-53.15,-70.9167,44.71,57,75,17.27,CL,1665073772
3,Tasiilaq,65.6145,-37.6368,42.96,72,91,2.17,GL,1665073773
4,Ciudad Bolivar,8.1222,-63.5497,83.48,68,100,4.16,VE,1665073775
5,Ushuaia,-54.8,-68.3,46.02,57,75,8.05,AR,1665073777
6,Hermanus,-34.4187,19.2345,58.8,81,78,15.82,ZA,1665073778
7,Bambous Virieux,-20.3428,57.7575,72.21,73,75,10.36,MU,1665073780
8,Bredasdorp,-34.5322,20.0403,61.81,70,100,17.56,ZA,1665073781
9,Rapid Valley,44.0625,-103.1463,44.6,95,100,12.66,US,1665073782
10,Kaitangata,-46.2817,169.8464,41.27,78,96,9.1,NZ,1665073785
11,Zhmerynka,49.037,28.112,56.12,69,59,8.05,UA,1665073787
12,Chokurdakh,70.6333,147.9167,20.73,91,96,14.94,RU,1665073788
13,Puerto Ayora,-0.7393,-90.3518,71.56,88,88,5.01,EC,1665073789
14,East London,-33.0153,27.9116,63.54,77,0,9.22,ZA,1665073791
15,Nantucket,41.2835,-70.0995,64.54,95,100,12.66,US,1665073792
16,Albany,42.6001,-73.9662,69.57,65,8,2.82,US,1665073794
17,Alappuzha,9.49,76.3264,79.0,82,100,8.57,IN,1665073795
18,Port Elizabeth,-33.918,25.5701,64.09,73,0,14.97,ZA,1665073796
19,Letterkenny,54.95,-7.7333,58.89,92,100,15.7,IE,1665073562
20,Houston,29.7633,-95.3633,84.94,62,0,6.91,US,1665073602
21,Dikson,73.5069,80.5464,31.82,99,100,22.66,RU,1665073801
22,Busselton,-33.65,115.3333,51.82,70,99,4.7,AU,1665073802
23,Wattegama,6.7989,81.4808,76.46,81,100,2.39,LK,1665073806
24,Bengkulu,-3.8004,102.2655,73.0,93,100,10.67,ID,1665073808
25,Rikitea,-23.1203,-134.9692,69.53,69,90,22.26,PF,1665073809
26,Portland,45.5234,-122.6762,61.45,93,100,4.61,US,1665073682
27,Karpogory,64.0019,44.4451,47.53,81,95,11.59,RU,1665073812
28,Tshane,-24.0196,21.8684,87.62,11,26,8.39,BW,1665073815
29,Cidreira,-30.1811,-50.2056,63.28,96,100,19.46,BR,1665073816
30,Saskylakh,71.9167,114.0833,17.13,91,100,15.35,RU,1665073818
31,Ketchikan,55.3422,-131.6461,52.27,100,100,11.5,US,1665073819
32,Jamestown,42.097,-79.2353,66.52,46,75,6.91,US,1665073821
33,Atuona,-9.8,-139.0333,76.53,76,71,23.94,PF,1665073822
34,Bluff,-46.6,168.3333,43.81,69,33,6.46,NZ,1665073824
35,Port Alfred,-33.5906,26.891,61.18,78,100,1.01,ZA,1665073825
36,Taoudenni,22.6783,-3.9836,108.54,8,12,3.8,ML,1665073826
37,Mgandu,-5.95,34.1333,72.77,24,16,6.44,TZ,1665073828
38,George Town,5.4112,100.3354,81.23,87,40,3.44,MY,1665073585
39,Mt. Pleasant,32.7941,-79.8626,79.99,50,0,4.61,US,1665073830
40,Sabha,27.0377,14.4283,79.07,33,0,10.71,LY,1665073833
41,Merauke,-8.4667,140.3333,78.85,88,99,13.13,ID,1665073834
42,Saint-Augustin,51.226,-58.6502,59.41,63,10,18.5,CA,1665073835
43,Longyearbyen,78.2186,15.6401,37.24,75,75,19.57,SJ,1665073837
44,Poum,-20.2333,164.0167,74.39,67,66,11.32,NC,1665073838
45,Salalah,17.0151,54.0924,78.89,89,40,5.75,OM,1665073840
46,Upington,-28.4478,21.2561,84.58,6,0,9.22,ZA,1665073831
47,Lima,-12.0432,-77.0282,61.05,72,100,4.61,PE,1665073842
48,Iguape,-24.7081,-47.5553,74.79,77,97,11.36,BR,1665073843
49,Mar del Plata,-38.0023,-57.5575,62.94,82,75,6.91,AR,1665073845
50,Gizo Government Station,-8.103,156.8419,81.3,71,100,4.97,SB,1665073846
51,Lieksa,63.3167,30.0167,49.19,83,100,15.82,FI,1665073847
52,Bethel,41.3712,-73.414,72.41,60,0,1.01,US,1665073849
53,Hobart,-42.8794,147.3294,57.06,88,100,11.5,AU,1665073850
54,Hasaki,35.7333,140.8333,54.28,80,100,18.25,JP,1665073851
55,Smithers,54.7804,-127.1743,44.92,100,100,2.3,CA,1665073854
56,Saint Paul Harbor,57.79,-152.4072,51.31,87,100,9.22,US,1665073856
57,Mataura,-46.1927,168.8643,43.48,84,81,2.46,NZ,1665073858
58,Pāsighāt,28.0667,95.3333,74.1,94,98,2.39,IN,1665073860
59,Moose Factory,51.2585,-80.6094,44.6,65,100,12.66,CA,1665073782
60,Hithadhoo,-0.6,73.0833,81.36,78,21,18.45,MV,1665073863
61,Lebu,-37.6167,-73.65,52.92,95,100,9.71,CL,1665073864
62,Dingle,10.9995,122.6711,76.17,91,100,6.69,PH,1665073866
63,Padang,-0.9492,100.3543,73.45,92,100,6.13,ID,1665073867
64,Kahului,20.8947,-156.47,78.82,78,40,6.91,US,1665073869
65,Tuktoyaktuk,69.4541,-133.0374,32.0,100,100,18.41,CA,1665073871
66,Dubbo,-32.25,148.6167,57.33,94,100,8.05,AU,1665073872
67,Blagoyevo,63.3667,47.9167,45.0,94,98,6.76,RU,1665073874
68,Soe,-9.8607,124.284,67.75,90,74,3.33,ID,1665073876
69,Avarua,-21.2078,-159.775,73.45,73,42,14.97,CK,1665073877
70,Faanui,-16.4833,-151.75,77.86,77,45,27.0,PF,1665073879
71,New Norfolk,-42.7826,147.0587,56.7,77,100,1.25,AU,1665073882
72,Nikolskoye,59.7035,30.7861,55.29,77,97,15.32,RU,1665073883
73,Carlsbad,33.1581,-117.3506,70.34,90,100,3.44,US,1665073732
74,Thinadhoo,0.5333,72.9333,81.84,77,52,19.24,MV,1665073886
75,Catuday,16.2923,119.8062,80.24,76,93,7.94,PH,1665073887
76,Brookings,44.3114,-96.7984,45.18,68,15,3.0,US,1665073879
77,Jacqueville,5.2052,-4.4146,77.61,85,43,11.43,CI,1665073890
78,Kavaratti,10.5669,72.642,81.63,75,98,18.32,IN,1665073891
79,Cabo San Lucas,22.8909,-109.9124,88.61,62,20,5.75,MX,1665073892
80,Banda Aceh,5.5577,95.3222,77.2,87,100,6.38,ID,1665073894
81,Arraial do Cabo,-22.9661,-42.0278,75.06,73,40,28.77,BR,1665073896
82,Umba,66.6871,34.3429,47.84,87,100,11.14,RU,1665073898
83,Neiafu,-18.65,-173.9833,77.68,88,75,5.75,TO,1665073755
84,Rosarito,32.3333,-117.0333,68.92,76,62,5.39,MX,1665073900
85,Nome,64.5011,-165.4064,42.87,81,100,19.57,US,1665073901
86,Churapcha,62.0025,132.4325,24.04,94,100,3.67,RU,1665073903
87,Carnarvon,-24.8667,113.6333,63.63,62,18,26.96,AU,1665073904
88,Cayenne,4.9333,-52.3333,91.44,52,40,11.5,GF,1665073897
89,Torbay,47.6666,-52.7314,60.89,88,100,8.05,CA,1665073907
90,Hamilton,39.1834,-84.5333,69.26,57,75,3.44,US,1665073883
91,Bethanien,-26.502,17.1583,76.3,9,3,17.52,NA,1665073910
92,Upernavik,72.7868,-56.1549,24.93,92,100,9.46,GL,1665073912
93,Cornwall,45.0181,-74.7281,71.26,56,0,6.91,CA,1665073762
94,Mossamedes,-15.1961,12.1522,64.22,84,42,10.42,AO,1665073914
95,Huangmei,30.1924,116.025,56.26,93,100,2.01,CN,1665073916
96,Samarai,-10.6167,150.6667,79.9,83,92,8.55,PG,1665073917
97,Chalmette,29.9427,-89.9634,83.03,54,20,8.05,US,1665073918
98,Vila Velha,-20.3297,-40.2925,80.55,74,75,10.36,BR,1665073813
99,Paamiut,61.994,-49.6678,37.02,75,68,2.44,GL,1665073921
100,Najrān,17.4924,44.1277,81.25,21,91,4.83,SA,1665073922
101,Kununurra,-15.7667,128.7333,82.38,65,100,2.3,AU,1665073924
102,Kavieng,-2.5744,150.7967,81.43,78,98,15.35,PG,1665073925
103,Houma,29.5958,-90.7195,82.99,64,40,5.75,US,1665073927
104,Tessalit,20.1986,1.0114,101.26,10,35,13.02,ML,1665073928
105,Warrnambool,-38.3833,142.4833,53.89,94,100,6.49,AU,1665073883
106,Kruisfontein,-34.0033,24.7314,61.88,78,99,10.0,ZA,1665073930
107,Samarkand,39.6542,66.9597,56.62,41,0,9.22,UZ,1665073920
108,Hilo,19.7297,-155.09,82.27,94,100,6.91,US,1665073842
109,Le Port,-20.9373,55.2919,73.4,70,17,3.49,RE,1665073934
110,Felanitx,39.4696,3.1483,74.95,78,90,11.61,ES,1665073936
111,São João da Barra,-21.6403,-41.0511,77.09,80,73,14.18,BR,1665073937
112,Libreville,0.3925,9.4537,78.98,81,75,11.25,GA,1665073903
113,Manokwari,-0.8667,134.0833,78.49,78,95,1.92,ID,1665073940
114,Laas,46.6166,10.7002,67.08,77,56,2.57,IT,1665073941
115,Severo-Kuril'sk,50.6789,156.125,42.62,66,76,13.76,RU,1665073943
116,Bilibino,68.0546,166.4372,22.23,96,100,4.83,RU,1665073944
117,Vaini,-21.2,-175.2,71.76,100,20,3.44,TO,1665073945
118,Beringovskiy,63.05,179.3167,39.09,70,6,32.73,RU,1665073947
119,Sindor,62.8629,51.8905,42.22,99,100,4.23,RU,1665073782
120,Norman Wells,65.282,-126.8329,35.64,93,40,3.44,CA,1665073949
121,San Cristobal,7.7669,-72.225,75.38,64,100,5.19,VE,1665073951
122,Hondomachi-hondo,32.45,130.2,70.48,69,85,7.11,JP,1665073952
123,Sampit,-2.5333,112.95,73.94,97,77,0.36,ID,1665073953
124,Lábrea,-7.2586,-64.7981,104.25,24,80,5.32,BR,1665073955
125,Tamworth,52.634,-1.6959,63.37,74,64,8.99,GB,1665073956
126,Arrondissement de Limoges,45.75,1.3333,63.68,77,40,5.75,FR,1665073958
127,Champerico,14.3,-91.9167,88.34,70,81,3.36,GT,1665073822
128,Benicarló,40.4165,0.4271,72.25,76,33,10.87,ES,1665073960
129,Castro,-24.7911,-50.0119,74.07,71,100,8.59,BR,1665073961
130,Kaeo,-35.1,173.7833,42.33,89,12,3.6,NZ,1665073963
131,Kirakira,-10.4544,161.9205,77.74,86,99,6.44,SB,1665073964
132,Ilulissat,69.2167,-51.1,30.22,74,75,4.61,GL,1665073965
133,Nizhny Tagil,57.9194,59.965,46.4,74,100,6.33,RU,1665073967
134,Jalu,29.0331,21.5482,78.75,34,0,8.86,LY,1665073968
135,Mandalgovi,45.7625,106.2708,36.46,31,92,3.65,MN,1665073969
136,Saint George,37.1041,-113.5841,74.43,35,0,1.99,US,1665073972
137,Ambilobe,-13.2,49.05,73.9,73,21,4.03,MG,1665073973
138,Tigil',57.8,158.6667,32.63,98,80,12.77,RU,1665073974
139,Tiksi,71.6872,128.8694,19.4,87,100,23.58,RU,1665073977
140,Lázaro Cárdenas,17.9583,-102.2,84.78,65,38,0.72,MX,1665073978
141,Thompson,55.7435,-97.8558,30.36,64,100,5.75,CA,1665073980
142,Iquitos,-3.7481,-73.2472,93.24,62,40,6.91,PE,1665073981
143,Kloulklubed,7.0419,134.2556,77.5,72,31,7.67,PW,1665073982
144,Fukuechō,32.6881,128.8419,67.93,79,100,16.62,JP,1665073986
145,Alyangula,-13.8483,136.4192,80.01,78,10,4.27,AU,1665073987
146,Mount Gambier,-37.8333,140.7667,53.4,98,100,6.85,AU,1665073988
147,Constitución,-35.3333,-72.4167,60.51,58,79,8.43,CL,1665073990
148,Yumen,40.2833,97.2,49.53,37,0,12.82,CN,1665073991
149,Husavik,66.0449,-17.3389,37.24,99,100,12.88,IS,1665073994
150,Alamogordo,32.8995,-105.9603,61.21,87,75,4.61,US,1665073995
151,Nemuro,43.3236,145.575,49.93,67,81,11.72,JP,1665073997
152,Airai,-8.9266,125.4092,60.85,91,94,2.35,TL,1665073998
153,Zhezkazgan,47.8043,67.7144,55.69,33,89,7.65,KZ,1665074000
154,Provideniya,64.3833,-173.3,39.72,79,7,36.84,RU,1665074001
155,Kalmunai,7.4167,81.8167,82.0,76,100,7.38,LK,1665074003
156,Kapaa,22.0752,-159.319,75.18,88,0,8.05,US,1665074004
157,Labytnangi,66.6572,66.4183,40.75,98,100,7.31,RU,1665074005
158,Alofi,-19.0595,-169.9187,67.89,100,96,1.14,NU,1665074007
159,Heihe,50.2441,127.4902,28.98,47,12,5.61,CN,1665074008
160,Chui,-33.6971,-53.4616,59.59,98,100,8.75,UY,1665074009
161,Mesetas,3.3846,-74.0442,85.91,61,83,2.82,CO,1665074011
162,San Jose,37.3394,-121.895,73.92,87,100,0.0,US,1665073908
163,Oodweyne,9.4092,45.064,76.39,48,93,8.46,SO,1665074013
164,Iqaluit,63.7506,-68.5145,28.13,74,75,16.11,CA,1665074015
165,Geraldton,-28.7667,114.6,46.81,87,6,8.05,AU,1665073875
166,Freeport,40.6576,-73.5832,73.29,53,0,6.91,US,1665074018
167,Xinyu,27.8043,114.9334,58.42,83,100,2.93,CN,1665074019
168,Lorengau,-2.0226,147.2712,80.98,82,100,8.9,PG,1665074021
169,Port-Gentil,-0.7193,8.7815,80.56,78,40,17.27,GA,1665074022
170,Morgan City,29.6994,-91.2068,82.02,57,0,8.05,US,1665073840
171,Pisco,-13.7,-76.2167,62.65,82,100,8.05,PE,1665074025
172,Novokayakent,42.3937,47.9861,64.96,72,100,10.22,RU,1665074026
173,Santa Isabel Rio Negro,-0.4139,-65.0192,99.16,34,39,5.03,BR,1665074027
174,Inhambane,-23.865,35.3833,76.98,88,20,16.11,MZ,1665074029
175,Vallenar,-28.5708,-70.7581,81.7,7,1,6.31,CL,1665073870
176,Butka,56.7179,63.7866,52.09,34,100,11.21,RU,1665074031
177,Qasigiannguit,68.8193,-51.1922,30.45,73,100,2.86,GL,1665074032
178,Palekastro,35.2,26.25,69.06,66,24,31.07,GR,1665074034
179,Khatanga,71.9667,102.5,18.1,95,100,13.53,RU,1665074035
180,Mahébourg,-20.4081,57.7,72.25,73,75,10.36,MU,1665074037
181,Tuatapere,-46.1333,167.6833,37.76,79,67,3.36,NZ,1665074039
182,Yangi Marg`ilon,40.4272,71.7189,63.32,34,0,4.61,UZ,1665074040
183,Saint-Philippe,-21.3585,55.7679,72.99,79,38,12.82,RE,1665074042
184,Caravelas,-17.7125,-39.2481,83.57,55,90,9.31,BR,1665074043
185,Hong Kong,22.2855,114.1577,83.32,80,37,10.0,HK,1665073909
186,Lafia,8.4833,8.5167,73.51,92,100,4.38,NG,1665074047
187,Cape Town,-33.9258,18.4232,64.27,79,75,11.5,ZA,1665073875
188,Barrow,71.2906,-156.7887,39.22,81,100,26.46,US,1665074051
189,Nivala,63.9167,24.9667,47.68,83,65,10.8,FI,1665074052
190,Cockburn Town,21.4612,-71.1419,84.16,70,40,11.5,TC,1665074053
191,Yellowknife,62.456,-114.3525,46.92,71,20,9.22,CA,1665074055
192,Salme,28.0369,85.0942,59.29,82,73,4.36,NP,1665074056
193,Bouaflé,6.9904,-5.7442,91.42,91,54,3.51,CI,1665074058
194,Lac du Bonnet,50.2536,-96.0612,39.09,45,61,9.35,CA,1665074059
195,Benguela,-12.5763,13.4055,72.64,78,51,7.2,AO,1665074060
196,Qaanaaq,77.484,-69.3632,14.02,88,98,8.01,GL,1665074062
197,Beni,0.5,29.4667,69.28,81,57,1.01,CD,1665074063
198,Blairmore,49.6,-114.4353,44.53,70,3,2.59,CA,1665073825
199,Zhob,31.3411,69.4481,72.39,32,0,2.26,PK,1665074066
200,Cândido de Abreu,-24.5669,-51.3333,70.02,96,100,4.03,BR,1665074067
201,Oddur,4.1213,43.8894,80.58,54,93,10.6,SO,1665074068
202,University Park,25.7465,-80.3676,87.03,63,75,10.36,US,1665074070
203,Caboolture,-27.0833,152.95,62.44,86,96,2.75,AU,1665074071
204,Delījān,33.9905,50.6838,73.85,15,0,4.54,IR,1665074072
205,Mayo,38.8876,-76.5119,75.11,60,0,1.99,US,1665074074
206,Sitka,57.0531,-135.33,55.29,100,75,0.0,US,1665074075
207,Lagos,6.5833,3.75,82.72,84,78,7.2,NG,1665073879
208,Halifax,44.6453,-63.5724,59.34,97,100,16.11,CA,1665073916
209,Butaritari,3.0707,172.7902,81.28,78,17,16.11,KI,1665074079
210,Fauske,67.2588,15.3918,48.94,80,99,22.97,NO,1665074080
211,Dingzhou,38.5131,114.9956,44.71,77,1,2.95,CN,1665074081
212,Sola,-13.8833,167.55,80.6,74,100,12.03,VU,1665073841
213,Fortuna,40.5982,-124.1573,53.94,62,77,1.52,US,1665074053
214,Esperance,-33.8667,121.9,54.77,62,100,15.32,AU,1665074085
215,Albacete,38.8333,-2.0,68.81,64,40,9.22,ES,1665074086
216,Souillac,-20.5167,57.5167,71.98,73,75,10.36,MU,1665074088
217,Mbamba,9.9833,13.1,75.85,82,96,1.83,NG,1665074089
218,Ancud,-41.8697,-73.8203,48.52,75,100,13.22,CL,1665074090
219,Klaksvík,62.2266,-6.589,49.12,77,64,32.01,FO,1665074092
220,Turukhansk,65.8167,87.9833,30.29,94,100,5.82,RU,1665074093
221,Healdsburg,38.6105,-122.8692,82.9,82,40,0.0,US,1665073836
222,Grand Gaube,-20.0064,57.6608,72.37,66,43,5.99,MU,1665074095
223,Pozo Colorado,-23.4923,-58.7972,68.59,80,100,8.95,PY,1665074097
224,Narsaq,60.9167,-46.05,41.22,69,1,1.3,GL,1665074098
225,Angoche,-16.2325,39.9086,76.32,81,0,10.09,MZ,1665074099
226,Japura,-0.3167,102.35,74.14,97,100,2.33,ID,1665074101
227,Katsuura,35.1333,140.3,60.03,90,100,17.09,JP,1665074102
228,Dwārka,22.2394,68.9678,82.63,70,56,13.42,IN,1665074104
229,Herat Province,34.5,62.0,56.07,12,0,11.9,AF,1665074106
230,Ereymentau,51.6199,73.1033,51.17,48,89,4.94,KZ,1665074108
231,Chapais,49.7834,-74.8492,46.18,88,100,7.96,CA,1665074109
232,Sakakah,29.9697,40.2064,94.57,16,7,6.91,SA,1665073815
233,Ayagoz,47.9714,80.4392,46.02,57,64,9.53,KZ,1665074111
234,Christchurch,-43.5333,172.6333,45.91,62,20,9.22,NZ,1665073832
235,Makakilo City,21.3469,-158.0858,73.98,83,0,5.75,US,1665074000
236,Shubarkuduk,49.1447,56.4872,58.41,24,99,1.95,KZ,1665074115
237,Umluj,25.0213,37.2685,85.57,69,0,6.44,SA,1665074118
238,General Pico,-35.6566,-63.7568,78.21,23,34,14.52,AR,1665074119
239,Udachny,66.4167,112.4,8.35,99,97,3.58,RU,1665074121
240,Iracoubo,5.4802,-53.2011,85.73,67,5,15.01,GF,1665074122
241,Bashtanka,47.4072,32.4387,59.31,47,45,7.16,UA,1665074123
242,Brae,60.3964,-1.353,51.08,79,3,28.23,GB,1665074125
243,Mogadishu,2.0371,45.3438,77.67,86,58,16.91,SO,1665074126
244,Caxias,38.7031,-9.2767,83.53,62,0,6.91,PT,1665074127
245,Lüderitz,-26.6481,15.1594,63.57,56,13,28.99,NA,1665074129
246,Clyde River,70.4692,-68.5914,25.03,86,100,6.91,CA,1665074130
247,Price,39.5994,-110.8107,61.12,41,0,0.0,US,1665074131
248,Saldanha,-33.0117,17.9442,62.65,85,17,8.79,ZA,1665074133
249,Yulara,-25.2406,130.9889,64.36,62,20,12.39,AU,1665074134
250,Palembang,-2.9167,104.7458,74.95,96,100,4.32,ID,1665074135
251,Grindavik,63.8424,-22.4338,43.27,75,75,16.11,IS,1665074137
252,Baruun-Urt,46.6806,113.2792,28.69,42,27,4.76,MN,1665074138
253,Abhā,18.2164,42.5053,73.22,17,40,8.05,SA,1665074139
254,St. George's,12.0564,-61.7485,78.48,94,75,18.41,GD,1665074141
255,Bossangoa,6.4926,17.4552,71.82,91,86,2.48,CF,1665074144
256,Grand Island,40.925,-98.342,62.89,77,100,16.11,US,1665074146
257,Port Hedland,-20.3167,118.5667,69.85,88,7,3.44,AU,1665074147
258,Aklavik,68.2191,-135.0107,31.95,88,100,12.26,CA,1665074148
259,Ponta do Sol,32.6667,-17.1,77.63,65,13,3.2,PT,1665074149
260,Marsá Maţrūḩ,31.3525,27.2453,75.4,46,40,11.5,EG,1665074151
261,Vanderhoof,54.0166,-124.0198,56.34,72,53,0.83,CA,1665074152
262,Ribeira Grande,38.5167,-28.7,75.6,73,40,4.61,PT,1665074154
263,Banjar,-8.19,114.9675,77.47,91,100,5.57,ID,1665074155
264,Varzelândia,-15.7014,-44.0275,91.71,27,90,5.39,BR,1665074157
265,Lobito,-12.3481,13.5456,72.54,80,71,4.9,AO,1665074159
266,Arrondissement de Saumur,47.3333,-0.25,66.31,54,4,5.46,FR,1665074160
267,Yatou,37.15,122.3833,50.92,54,83,7.36,CN,1665074161
268,Isangel,-19.55,169.2667,74.16,89,98,11.77,VU,1665074163
269,Stephenville,32.2207,-98.2023,84.33,31,0,1.99,US,1665074067
270,Wuda,39.4994,106.7117,51.06,24,0,6.38,CN,1665074166
271,Adrar,20.5022,-10.0711,101.28,8,3,8.84,MR,1665074167
272,Santa Cruz de Barahona,18.2085,-71.1008,89.42,66,20,13.8,DO,1665074169
273,Bahía Honda,22.9036,-83.1592,83.86,63,14,8.88,CU,1665074170
274,Scottsbluff,41.8666,-103.6672,62.78,61,0,3.44,US,1665074172
275,La Ligua,-32.4524,-71.2311,74.41,35,43,10.76,CL,1665074173
276,Salym,60.0625,71.4789,44.82,92,100,5.3,RU,1665074175
